STATE,STATEFIPS,FIPS,COUNTY,TO.WTotl
AL,1,1001,Autauga County,55.55
AL,1,1003,Baldwin County,64.36
AL,1,1005,Barbour County,11.05
AL,1,1007,Bibb County,7.61
AL,1,1009,Blount County,57.08
AL,1,1011,Bullock County,3.19
AL,1,1013,Butler County,4.52
AL,1,1015,Calhoun County,29.31
AL,1,1017,Chambers County,5.4
AL,1,1019,Cherokee County,5.54
AL,1,1021,Chilton County,7.32
AL,1,1023,Choctaw County,42.89
AL,1,1025,Clarke County,24.31
AL,1,1027,Clay County,2.51
AL,1,1029,Cleburne County,1.79
AL,1,1031,Coffee County,14.66
AL,1,1033,Colbert County,1344.32
AL,1,1035,Conecuh County,2.4
AL,1,1037,Coosa County,0.93
AL,1,1039,Covington County,10.32
AL,1,1041,Crenshaw County,3.16
AL,1,1043,Cullman County,37.88
AL,1,1045,Dale County,10.25
AL,1,1047,Dallas County,49.12
AL,1,1049,De Kalb County,11.94
AL,1,1051,Elmore County,16.02
AL,1,1053,Escambia County,45.21
AL,1,1055,Etowah County,146.3
AL,1,1057,Fayette County,4.65
AL,1,1059,Franklin County,6.43
AL,1,1061,Geneva County,7.45
AL,1,1063,Greene County,366.36
AL,1,1065,Hale County,20.25
AL,1,1067,Henry County,6.49
AL,1,1069,Houston County,118.04
AL,1,1071,Jackson County,1067.46
AL,1,1073,Jefferson County,81.33
AL,1,1075,Lamar County,2.08
AL,1,1077,Lauderdale County,17.5
AL,1,1079,Lawrence County,72.81
AL,1,1081,Lee County,18.19
AL,1,1083,Limestone County,2744.24
AL,1,1085,Lowndes County,4.45
AL,1,1087,Macon County,7.14
AL,1,1089,Madison County,79.13
AL,1,1091,Marengo County,25.05
AL,1,1093,Marion County,6.98
AL,1,1095,Marshall County,30.45
AL,1,1097,Mobile County,1096.73
AL,1,1099,Monroe County,50.62
AL,1,1101,Montgomery County,37.63
AL,1,1103,Morgan County,123.64
AL,1,1105,Perry County,10.83
AL,1,1107,Pickens County,6.17
AL,1,1109,Pike County,7.8
AL,1,1111,Randolph County,2.86
AL,1,1113,Russell County,40.68
AL,1,1115,St Clair County,18.07
AL,1,1117,Shelby County,688.57
AL,1,1119,Sumter County,8.64
AL,1,1121,Talladega County,46
AL,1,1123,Tallapoosa County,12.08
AL,1,1125,Tuscaloosa County,39.23
AL,1,1127,Walker County,954.97
AL,1,1129,Washington County,89.63
AL,1,1131,Wilcox County,22.23
AL,1,1133,Winston County,2.17
AK,2,2013,Aleutians East Borough,3.68
AK,2,2016,Aleutians West Census Area,4.96
AK,2,2020,Municipality of Anchorage,46.24
AK,2,2050,Bethel Census Area,0.48
AK,2,2060,Bristol Bay Borough,0.19
AK,2,2068,Denali Borough,24.17
AK,2,2070,Dillingham Census Area,0.39
AK,2,2090,Fairbanks North Star Borough,53.62
AK,2,2100,Haines Borough,44.39
AK,2,2105,Hoonah-Angoon Census Area,141.09
AK,2,2110,City & Borough of Juneau,58.81
AK,2,2122,Kenai Peninsula Borough,28.01
AK,2,2130,Ketchikan Gateway Borough,29.92
AK,2,2150,Kodiak Island Borough,6.1
AK,2,2164,Lake and Peninsula Borough,0.48
AK,2,2170,Matanuska-Susitna Borough,33.75
AK,2,2180,Nome Census Area,0.74
AK,2,2185,North Slope Borough,221.16
AK,2,2188,Northwest Arctic Borough,9.83
AK,2,2195,Petersburg Census Area,62.33
AK,2,2198,Prince of Wales-Hyder Census Area,73.68
AK,2,2220,City & Borough of Sitka,55.25
AK,2,2230,Skagway Municipality,8.7
AK,2,2240,Southeast Fairbanks Census Area,0.95
AK,2,2261,Valdez-Cordova Census Area,42.7
AK,2,2270,Wade Hampton Census Area,0.51
AK,2,2275,City & Borough of Wrangell,48.05
AK,2,2282,City & Borough of Yakutat,92.58
AK,2,2290,Yukon-Koyukuk Census Area,1.77
AZ,4,4001,Apache County,48.96
AZ,4,4003,Cochise County,238.4
AZ,4,4005,Coconino County,52.18
AZ,4,4007,Gila County,34.69
AZ,4,4009,Graham County,176.21
AZ,4,4011,Greenlee County,25.89
AZ,4,4012,La Paz County,668.84
AZ,4,4013,Maricopa County,1953.58
AZ,4,4015,Mohave County,121.16
AZ,4,4017,Navajo County,61.66
AZ,4,4019,Pima County,305.43
AZ,4,4021,Pinal County,1130.08
AZ,4,4023,Santa Cruz County,17.44
AZ,4,4025,Yavapai County,92.29
AZ,4,4027,Yuma County,1161.35
AR,5,5001,Arkansas County,939.73
AR,5,5003,Ashley County,205.15
AR,5,5005,Baxter County,4.84
AR,5,5007,Benton County,402.47
AR,5,5009,Boone County,2.8
AR,5,5011,Bradley County,2.07
AR,5,5013,Calhoun County,0.65
AR,5,5015,Carroll County,10.71
AR,5,5017,Chicot County,273.05
AR,5,5019,Clark County,11.62
AR,5,5021,Clay County,407.5
AR,5,5023,Cleburne County,25.95
AR,5,5025,Cleveland County,1.43
AR,5,5027,Columbia County,11.25
AR,5,5029,Conway County,29.16
AR,5,5031,Craighead County,422.73
AR,5,5033,Crawford County,34.73
AR,5,5035,Crittenden County,219.74
AR,5,5037,Cross County,561.71
AR,5,5039,Dallas County,0.8
AR,5,5041,Desha County,483.99
AR,5,5043,Drew County,37.25
AR,5,5045,Faulkner County,8.78
AR,5,5047,Franklin County,11.14
AR,5,5049,Fulton County,84.42
AR,5,5051,Garland County,17.58
AR,5,5053,Grant County,5.32
AR,5,5055,Greene County,366.98
AR,5,5057,Hempstead County,4.66
AR,5,5059,Hot Spring County,125.01
AR,5,5061,Howard County,4.43
AR,5,5063,Independence County,156.7
AR,5,5065,Izard County,4.64
AR,5,5067,Jackson County,441.98
AR,5,5069,Jefferson County,350.63
AR,5,5071,Johnson County,5.57
AR,5,5073,Lafayette County,25.12
AR,5,5075,Lawrence County,198.54
AR,5,5077,Lee County,307
AR,5,5079,Lincoln County,224.19
AR,5,5081,Little River County,105.18
AR,5,5083,Logan County,4.18
AR,5,5085,Lonoke County,489.49
AR,5,5087,Madison County,1.77
AR,5,5089,Marion County,2.03
AR,5,5091,Miller County,15.52
AR,5,5093,Mississippi County,381.18
AR,5,5095,Monroe County,297.51
AR,5,5097,Montgomery County,1
AR,5,5099,Nevada County,1.35
AR,5,5101,Newton County,1.36
AR,5,5103,Ouachita County,43.44
AR,5,5105,Perry County,2.02
AR,5,5107,Phillips County,266.66
AR,5,5109,Pike County,1.84
AR,5,5111,Poinsett County,937.26
AR,5,5113,Polk County,3.95
AR,5,5115,Pope County,987.15
AR,5,5117,Prairie County,334.17
AR,5,5119,Pulaski County,82.11
AR,5,5121,Randolph County,156.18
AR,5,5123,St Francis County,363.06
AR,5,5125,Saline County,31.88
AR,5,5127,Scott County,1.91
AR,5,5129,Searcy County,1.81
AR,5,5131,Sebastian County,3.74
AR,5,5133,Sevier County,4.58
AR,5,5135,Sharp County,3.5
AR,5,5137,Stone County,2.79
AR,5,5139,Union County,20.42
AR,5,5141,Van Buren County,4.35
AR,5,5143,Washington County,3.07
AR,5,5145,White County,88.03
AR,5,5147,Woodruff County,246.32
AR,5,5149,Yell County,4.13
CA,6,6001,Alameda County,254.89
CA,6,6003,Alpine County,4.47
CA,6,6005,Amador County,32.37
CA,6,6007,Butte County,715.33
CA,6,6009,Calaveras County,23.39
CA,6,6011,Colusa County,835.02
CA,6,6013,Contra Costa County,302.73
CA,6,6015,Del Norte County,13.67
CA,6,6017,El Dorado County,55.73
CA,6,6019,Fresno County,2813.24
CA,6,6021,Glenn County,606.63
CA,6,6023,Humboldt County,113.98
CA,6,6025,Imperial County,1169.24
CA,6,6027,Inyo County,111.57
CA,6,6029,Kern County,2159.89
CA,6,6031,Kings County,1298.85
CA,6,6033,Lake County,50.85
CA,6,6035,Lassen County,202.61
CA,6,6037,Los Angeles County,3064.01
CA,6,6039,Madera County,748.71
CA,6,6041,Marin County,42.85
CA,6,6043,Mariposa County,5.32
CA,6,6045,Mendocino County,81.53
CA,6,6047,Merced County,1494.67
CA,6,6049,Modoc County,261.53
CA,6,6051,Mono County,229.71
CA,6,6053,Monterey County,545.54
CA,6,6055,Napa County,96.86
CA,6,6057,Nevada County,48.69
CA,6,6059,Orange County,765.39
CA,6,6061,Placer County,191.22
CA,6,6063,Plumas County,118.73
CA,6,6065,Riverside County,1099.26
CA,6,6067,Sacramento County,681.06
CA,6,6069,San Benito County,85.44
CA,6,6071,San Bernardino County,659.42
CA,6,6073,San Diego County,2818.19
CA,6,6075,San Francisco County,93.49
CA,6,6077,San Joaquin County,1753.37
CA,6,6079,San Luis Obispo County,2579.14
CA,6,6081,San Mateo County,93.08
CA,6,6083,Santa Barbara County,264.25
CA,6,6085,Santa Clara County,298.22
CA,6,6087,Santa Cruz County,66.38
CA,6,6089,Shasta County,239.01
CA,6,6091,Sierra County,39.03
CA,6,6093,Siskiyou County,411.07
CA,6,6095,Solano County,452.77
CA,6,6097,Sonoma County,259.54
CA,6,6099,Stanislaus County,1642.69
CA,6,6101,Sutter County,721.95
CA,6,6103,Tehama County,825.59
CA,6,6105,Trinity County,22.53
CA,6,6107,Tulare County,2600.28
CA,6,6109,Tuolumne County,35.75
CA,6,6111,Ventura County,719.48
CA,6,6113,Yolo County,780.23
CA,6,6115,Yuba County,261.74
CO,8,8001,Adams County,230.92
CO,8,8003,Alamosa County,152.41
CO,8,8005,Arapahoe County,187
CO,8,8007,Archuleta County,59.27
CO,8,8009,Baca County,98.51
CO,8,8011,Bent County,152.43
CO,8,8013,Boulder County,231.61
CO,8,8014,Broomfield County,6.4
CO,8,8015,Chaffee County,101.85
CO,8,8017,Cheyenne County,37.88
CO,8,8019,Clear Creek County,1.82
CO,8,8021,Conejos County,382.5
CO,8,8023,Costilla County,139.91
CO,8,8025,Crowley County,13.73
