STATE,STATEFIPS,TP.TotPop,PS.TOPop,PS.Wtotl,DO.SSPop,DO.TOTAL,DO.WFrTo,IR.WFrTo,LI.WFrTo,AQ.WTotl,MI.Wtotl,PT.Wtotl,TO.WGWFr,TO.WGWSa,TO.WGWTo,TO.WSWFr,TO.WSWSa,TO.WSWTo,TO.WFrTo,TO.WSaTo,TO.WTotl
AK,2,710.231,449.797,79.05,260.434,63.98,14.8,1.59,0.25,683.85,244.92,57.99,477.91,144.46,622.37,391.49,80.67,472.16,869.4,225.13,1094.53
AL,1,4779.736,4240.342,831.07,539.394,364.66,37.97,158.9,26.48,59.1,20.21,8251.81,494.17,0,494.17,9465.8,0,9465.8,9959.97,0,9959.97
AR,5,2915.918,2771.484,428.67,144.434,308.26,12.84,8719.73,38.96,267.6,44.29,1539.3,7782.09,5.05,7787.14,3539.82,0,3539.82,11321.91,5.05,11326.96
AZ,4,6392.333,6174.163,1213.42,218.17,939.19,27.18,4569.37,26.96,47.28,86.61,104.42,2549.42,0,2549.42,3538.74,0,3538.74,6088.16,0,6088.16
CA,6,37253.956,34777.909,6298.72,2476.047,4037.56,171.92,23056.49,187.79,973.34,272.42,6601.1,12282.81,368.74,12651.55,18823.29,6487.34,25310.63,31106.1,6856.08,37962.18
CO,8,5029.196,4717.577,847.53,311.619,558.95,37.93,9714.71,36.87,122.02,27.93,76.98,1538.64,19.42,1558.06,9436.14,0,9436.14,10974.78,19.42,10994.2
CT,9,3574.097,2702.724,427.06,871.373,268.06,65.35,23.96,1.01,29.72,4.72,2654.22,216.14,0,216.14,599.96,2494.86,3094.82,816.1,2494.86,3310.96
DC,11,601.723,601.723,0,0,74.94,0,0.1,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.1,0,0.1
DE,10,897.934,712.667,78.06,185.267,71.84,14.82,101.33,1.31,0.06,0.85,425.07,156.31,0,156.31,143.9,417.25,561.15,300.21,417.25,717.46
FL,12,18801.31,16893.707,2267.82,1907.603,1644.09,213.84,2919.84,21.33,1.86,112.87,9185.25,3968.36,154.16,4122.52,2230.96,8582.49,10813.45,6199.32,8736.65,14935.97
GA,13,9687.655,8157.53,1115.51,1530.125,765.35,114.77,838.79,29.27,49.8,27.68,2055.89,1228.1,0,1228.1,3207.69,283.05,3490.74,4435.79,283.05,4718.84
HI,15,1360.301,1304.617,273.87,55.684,195.89,8.02,323.46,1.83,4.54,1.51,655.91,422.82,50.75,473.57,248.2,552,800.2,671.02,602.75,1273.77
IA,19,3046.355,2454.952,392.87,591.403,198.4,38.38,42.82,135.93,18.9,79.59,2236.71,650.41,0,650.41,2420.06,0,2420.06,3070.47,0,3070.47
ID,16,1567.582,1135.637,238.6,431.945,263.39,79.01,14039.99,47.51,2754.56,20.2,0.88,4246.91,0,4246.91,12983.56,0,12983.56,17230.47,0,17230.47
IL,17,12830.632,11675.29,1504.83,1155.342,1026.41,92.36,225.76,36.06,31.95,96.33,10713.68,853.12,25.47,878.59,12212.71,0,12212.71,13065.83,25.47,13091.3
IN,18,6483.802,4825.117,655.5,1658.685,492.76,126.06,137.13,39.2,8.57,88.25,5381.48,719.87,0,719.87,7923.13,0,7923.13,8643,0,8643
KS,20,2853.118,2702.235,391.18,150.883,209.35,14.88,3041,114.02,12.94,13.32,377.18,3204.99,0,3204.99,799.82,0,799.82,4004.81,0,4004.81
