STATE,STATEFIPS,TP.TotPop,PS.GWPop,PS.SWPop,PS.TOPop,PS.WGWFr,PS.WGWSa,PS.WGWTo,PS.WSWFr,PS.WSWSa,PS.WSWTo,PS.WFrTo,PS.WSaTo,PS.Wtotl,DO.SSPop,DO.WGWFr,DO.WSWFr,DO.WFrTo,DO.SSPCp,DO.PSDel,DO.PSPCp,DO.TOTAL,IN.WGWFr,IN.WGWSa,IN.WGWTo,IN.WSWFr,IN.WSWSa,IN.WSWTo,IN.WFrTo,IN.WSaTo,IN.Wtotl,IR.WGWFr,IR.WSWFr,IR.WFrTo,IR.IrSpr,IR.IrMic,IR.IrSur,IR.IrTot,IC.WGWFr,IC.WSWFr,IC.WFrTo,IC.IrSpr,IC.IrMic,IC.IrSur,IC.IrTot,IG.WGWFr,IG.WSWFr,IG.WFrTo,IG.IrSpr,IG.IrMic,IG.IrSur,IG.IrTot,LI.WGWFr,LI.WSWFr,LI.WFrTo,AQ.WGWFr,AQ.WGWSa,AQ.WGWTo,AQ.WSWFr,AQ.WSWSa,AQ.WSWTo,AQ.WFrTo,AQ.WSaTo,AQ.WTotl,MI.WGWFr,MI.WGWSa,MI.WGWTo,MI.WSWFr,MI.WSWSa,MI.WSWTo,MI.WFrTo,MI.WSaTo,MI.Wtotl,PT.WGWFr,PT.WGWSa,PT.WGWTo,PT.WSWFr,PT.WSWSa,PT.WSWTo,PT.WFrTo,PT.WSaTo,PT.Wtotl,PT.Power,PO.WGWFr,PO.WGWSa,PO.WGWTo,PO.WSWFr,PO.WSWSa,PO.WSWTo,PO.WFrTo,PO.WSaTo,PO.WTotl,PO.Power,PC.WGWFr,PC.WGWSa,PC.WGWTo,PC.WSWFr,PC.WSWSa,PC.WSWTo,PC.WFrTo,PC.WSaTo,PC.WTotl,PC.Power,TO.WGWFr,TO.WGWSa,TO.WGWTo,TO.WSWFr,TO.WSWSa,TO.WSWTo,TO.WFrTo,TO.WSaTo,TO.WTotl
AK,2,710.231,0,0,449.797,27.23,0,27.23,51.82,0,51.82,79.05,0,79.05,260.434,14.14,0.66,14.8,4396,49.18,4934,63.98,3.38,0,3.38,4.4,4.3,8.7,7.78,4.3,12.08,1.57,0.02,1.59,3.1,0,0.07,3.17,1.09,0.02,1.11,2.52,0,0.07,2.59,0.48,0,0.48,0.58,0,0,0.58,0.1,0.15,0.25,429.29,0,429.29,254.56,0,254.56,683.85,0,683.85,0.01,144.46,144.47,24.08,76.37,100.45,24.09,220.83,244.92,2.19,0,2.19,55.8,0,55.8,57.99,0,57.99,1762.4,0,0,0,55.8,0,55.8,55.8,0,55.8,533,2.19,0,2.19,0,0,0,2.19,0,2.19,1229.4,477.91,144.46,622.37,391.49,80.67,472.16,869.4,225.13,1094.53
AL,1,4779.736,0,0,4240.342,280.5,0,280.5,550.57,0,550.57,831.07,0,831.07,539.394,37.97,0,37.97,11320,326.69,13783,364.66,33.95,0,33.95,540.48,0,540.48,574.43,0,574.43,84.9,74,158.9,149.61,1.42,0.52,151.55,84.9,57.73,142.63,124.32,1.42,0.52,126.26,0,16.27,16.27,25.29,0,0,25.29,11.68,14.8,26.48,32.45,0,32.45,26.65,0,26.65,59.1,0,59.1,12.72,0,12.72,7.49,0,7.49,20.21,0,20.21,0,0,0,8251.81,0,8251.81,8251.81,0,8251.81,124973.98,0,0,0,8118.23,0,8118.23,8118.23,0,8118.23,74302.93,0,0,0,133.58,0,133.58,133.58,0,133.58,50671.05,494.17,0,494.17,9465.8,0,9465.8,9959.97,0,9959.97
AR,5,2915.918,985.403,1786.081,2771.484,133.66,0,133.66,295.01,0,295.01,428.67,0,428.67,144.434,12.84,0,12.84,9209,295.42,1437,308.26,56.12,5.05,61.17,214.4,0,214.4,270.52,5.05,275.57,7378.33,1341.4,8719.73,518.47,0,4153.62,4672.09,7378.33,1341.4,8719.73,518.47,0,4153.62,4672.09,0,0,0,0,0,0,0,15.56,23.4,38.96,181.14,0,181.14,86.46,0,86.46,267.6,0,267.6,0.18,0,0.18,44.11,0,44.11,44.29,0,44.29,4.26,0,4.26,1535.04,0,1535.04,1539.3,0,1539.3,48980.15,0.8,0,0.8,1476.54,0,1476.54,1477.34,0,1477.34,20089.51,3.46,0,3.46,58.5,0,58.5,61.96,0,61.96,28890.64,7782.09,5.05,7787.14,3539.82,0,3539.82,11321.91,5.05,11326.96
AZ,4,6392.333,3479.722,2694.441,6174.163,585.07,0,585.07,628.35,0,628.35,1213.42,0,1213.42,218.17,27.18,0,27.18,919,912.01,811,939.19,12.92,0,12.92,0,0,0,12.92,0,12.92,1693.89,2875.48,4569.37,195.05,28.07,770.04,993.16,1617.41,2835.8,4453.21,165.37,28.07,770.04,963.48,76.48,39.68,116.16,29.68,0,0,29.68,26.96,0,26.96,39.51,0,39.51,7.77,0,7.77,47.28,0,47.28,86.61,0,86.61,0,0,0,86.61,0,86.61,77.28,0,77.28,27.14,0,27.14,104.42,0,104.42,86669.71,0,0,0,0,0,0,0,0,0,0,77.28,0,77.28,27.14,0,27.14,104.42,0,104.42,86669.71,2549.42,0,2549.42,3538.74,0,3538.74,6088.16,0,6088.16
CA,6,37253.956,14577.672,20200.237,34777.909,2742.2,84.29,2826.49,3472.23,0,3472.23,6214.43,84.29,6298.72,2476.047,142.47,29.45,171.92,9628,3865.64,5459,4037.56,399.27,0,399.27,1.13,0,1.13,400.4,0,400.4,8685.98,14370.51,23056.49,1792.5,2892.85,5665.98,10351.33,8553.37,14290.06,22843.43,1701.25,2892.85,5665.98,10260.08,132.61,80.45,213.06,91.25,0,0,91.25,84.41,103.38,187.79,171.22,0,171.22,802.12,0,802.12,973.34,0,973.34,24.12,236,260.12,12.25,0.05,12.3,36.37,236.05,272.42,33.14,48.45,81.59,32.22,6487.29,6519.51,65.36,6535.74,6601.1,85431.59,0.73,0,0.73,0,6486.25,6486.25,0.73,6486.25,6486.98,40142.37,32.41,48.45,80.86,32.22,1.04,33.26,64.63,49.49,114.12,45289.22,12282.81,368.74,12651.55,18823.29,6487.34,25310.63,31106.1,6856.08,37962.18
CO,8,5029.196,661.872,4055.705,4717.577,130.22,0,130.22,717.31,0,717.31,847.53,0,847.53,311.619,37.93,0,37.93,5795,521.02,7461,558.95,3.45,0,3.45,126.78,0,126.78,130.23,0,130.23,1296.69,8418.02,9714.71,1413.2,0.2,1926.19,3339.59,1289.24,8388.9,9678.14,1387.16,0.2,1926.19,3313.55,7.45,29.12,36.57,26.04,0,0,26.04,25.07,11.8,36.87,23.04,0,23.04,98.98,0,98.98,122.02,0,122.02,5.46,19.42,24.88,3.05,0,3.05,8.51,19.42,27.93,16.78,0,16.78,60.2,0,60.2,76.98,0,76.98,38281.13,3.93,0,3.93,13.77,0,13.77,17.7,0,17.7,722.24,12.85,0,12.85,46.43,0,46.43,59.28,0,59.28,37558.89,1538.64,19.42,1558.06,9436.14,0,9436.14,10974.78,19.42,10994.2
CT,9,3574.097,0,0,2702.724,135.06,0,135.06,292,0,292,427.06,0,427.06,871.373,65.35,0,65.35,1416,202.71,1728,268.06,6.28,0,6.28,60.18,38.46,98.64,66.46,38.46,104.92,0.85,23.11,23.96,23.99,1.83,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,1.01,6.67,0,6.67,23.05,0,23.05,29.72,0,29.72,0.92,0,0.92,3.8,0,3.8,4.72,0,4.72,0,0,0,197.82,2456.4,2654.22,197.82,2456.4,2654.22,21596.89,0,0,0,197.72,2456.4,2654.12,197.72,2456.4,2654.12,21540.08,0,0,0,0.1,0,0.1,0.1,0,0.1,56.81,216.14,0,216.14,599.96,2494.86,3094.82,816.1,2494.86,3310.96
DC,11,601.723,0,601.723,601.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.94,28,74.94,0,0,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,0,0,0,0.05,0.05,0.1,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0,0.05,0.1,0,0.1
DE,10,897.934,270.937,441.73,712.667,44.76,0,44.76,33.3,0,33.3,78.06,0,78.06,185.267,14.82,0,14.82,546,57.02,666,71.84,8.43,0,8.43,87.53,0,87.53,95.96,0,95.96,86.12,15.21,101.33,131.9,1.11,0,133.01,82.35,14.53,96.88,129.16,1.11,0,130.27,3.77,0.68,4.45,2.74,0,0,2.74,1.31,0,1.31,0.06,0,0.06,0,0,0,0.06,0,0.06,0.44,0,0.44,0.41,0,0.41,0.85,0,0.85,0.37,0,0.37,7.45,417.25,424.7,7.82,417.25,425.07,5154,0,0,0,0,417.25,417.25,0,417.25,417.25,2946,0.37,0,0.37,7.45,0,7.45,7.82,0,7.82,2208,156.31,0,156.31,143.9,417.25,561.15,300.21,417.25,717.46
FL,12,18801.31,15420.651,1473.056,16893.707,1864.55,147.62,2012.17,238.68,16.97,255.65,2103.23,164.59,2267.82,1907.603,213.84,0,213.84,9944,1430.25,10677,1644.09,165.45,0,165.45,47.71,0,47.71,213.16,0,213.16,1581.32,1338.52,2919.84,547.99,711.85,731.48,1991.32,1484.36,1239.03,2723.39,426.31,711.85,731.48,1869.64,96.96,99.49,196.45,121.68,0,0,121.68,19.11,2.22,21.33,1.86,0,1.86,0,0,0,1.86,0,1.86,78.75,0,78.75,34.12,0,34.12,112.87,0,112.87,43.48,6.54,50.02,569.71,8565.52,9135.23,613.19,8572.06,9185.25,199349.5,8.12,0,8.12,520.45,8461.95,8982.4,528.57,8461.95,8990.52,98437.5,35.36,6.54,41.9,49.26,103.57,152.83,84.62,110.11,194.73,100912,3968.36,154.16,4122.52,2230.96,8582.49,10813.45,6199.32,8736.65,14935.97
